movie_title,title_year,imdb_score,duration,num_critic_for_reviews,gross,budget,movie_facebook_likes,movie_imdb_link
1911,2011.0,6.0,121.0,63.0,127437.0,18000000.0,0,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1
1941,1979.0,5.9,142.0,56.0,,35000000.0,2000,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1
1982,2013.0,7.1,90.0,6.0,,1000000.0,181,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1
2 Fast 2 Furious,2003.0,5.9,107.0,150.0,127083765.0,76000000.0,0,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1
2 Guns,2013.0,6.7,109.0,265.0,75573300.0,61000000.0,22000,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1
20 Dates,1998.0,5.3,87.0,32.0,536767.0,60000.0,30,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1
20 Feet from Stardom,2013.0,7.4,91.0,149.0,4946250.0,1000000.0,14000,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1
"20,000 Leagues Under the Sea",1954.0,7.2,127.0,69.0,,5000000.0,0,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1
200 Cigarettes,1999.0,5.9,101.0,67.0,6851636.0,6000000.0,0,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1
2001: A Space Odyssey,1968.0,8.3,161.0,285.0,56715371.0,12000000.0,24000,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1
2012,2009.0,5.8,158.0,367.0,166112167.0,200000000.0,13000,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1
2016: Obama's America,2012.0,5.1,87.0,30.0,33349949.0,2500000.0,0,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1
2046,2004.0,7.5,129.0,194.0,261481.0,12000000.0,0,http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1
21,2008.0,6.8,123.0,144.0,81159365.0,35000000.0,0,http://www.imdb.com/title/tt0478087/?ref_=fn_tt_tt_1
21 & Over,2013.0,5.9,93.0,168.0,25675765.0,13000000.0,11000,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1
21 Grams,2003.0,7.7,124.0,192.0,16248701.0,20000000.0,0,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1
21 Jump Street,2012.0,7.2,109.0,375.0,138447667.0,42000000.0,39000,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1
22 Jump Street,2014.0,7.1,112.0,330.0,191616238.0,50000000.0,24000,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1
24 7: Twenty Four Seven,1997.0,7.1,96.0,44.0,,,224,http://www.imdb.com/title/tt0120391/?ref_=fn_tt_tt_1
25th Hour,2002.0,7.7,108.0,202.0,13060843.0,15000000.0,0,http://www.imdb.com/title/tt0307901/?ref_=fn_tt_tt_1
27 Dresses,2008.0,6.1,111.0,175.0,76806312.0,30000000.0,0,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1
28 Days,2000.0,6.0,103.0,116.0,37035515.0,43000000.0,0,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1
28 Days Later...,2002.0,7.6,113.0,224.0,45063889.0,8000000.0,11000,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1
28 Weeks Later,2007.0,7.0,100.0,274.0,28637507.0,15000000.0,0,http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1
2:13,2009.0,4.8,96.0,4.0,,3500000.0,211,http://www.imdb.com/title/tt1002561/?ref_=fn_tt_tt_1
3,2010.0,6.8,119.0,76.0,59774.0,,2000,http://www.imdb.com/title/tt1517177/?ref_=fn_tt_tt_1
3 Backyards,2010.0,5.2,88.0,20.0,,300000.0,92,http://www.imdb.com/title/tt1314190/?ref_=fn_tt_tt_1
3 Days to Kill,2014.0,6.2,123.0,211.0,30688364.0,28000000.0,10000,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1
3 Men and a Baby,1987.0,5.9,102.0,21.0,167780960.0,11000000.0,3000,http://www.imdb.com/title/tt0094137/?ref_=fn_tt_tt_1
3 Ninjas Kick Back,1994.0,4.3,93.0,5.0,11784000.0,20000000.0,444,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1
3 Strikes,2000.0,4.0,82.0,22.0,9821335.0,6000000.0,118,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1
30 Days of Night,2007.0,6.6,113.0,304.0,39568996.0,32000000.0,0,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1
30 Minutes or Less,2011.0,6.1,83.0,220.0,37053924.0,28000000.0,0,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013.0,2.6,80.0,29.0,,3000000.0,2000,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1
300,2006.0,7.7,117.0,460.0,210592590.0,65000000.0,13000,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1
3000 Miles to Graceland,2001.0,5.9,125.0,113.0,15738632.0,42000000.0,0,http://www.imdb.com/title/tt0233142/?ref_=fn_tt_tt_1
300: Rise of an Empire,2014.0,6.2,102.0,366.0,106369117.0,110000000.0,71000,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1
3:10 to Yuma,2007.0,7.8,122.0,295.0,53574088.0,55000000.0,0,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1
3rd Rock from the Sun,,7.8,60.0,22.0,,,0,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1
"4 Months, 3 Weeks and 2 Days",2007.0,7.9,113.0,233.0,1185783.0,590000.0,14000,http://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1
40 Days and 40 Nights,2002.0,5.6,96.0,140.0,37939782.0,17000000.0,2000,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1
42,2013.0,7.5,128.0,216.0,95001343.0,40000000.0,28000,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1
42nd Street,1933.0,7.7,89.0,65.0,2300000.0,439000.0,439,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1
47 Ronin,2013.0,6.3,128.0,218.0,38297305.0,175000000.0,35000,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1
5 Days of War,2011.0,5.6,113.0,74.0,17149.0,20000000.0,0,http://www.imdb.com/title/tt1486193/?ref_=fn_tt_tt_1
50 First Dates,2004.0,6.8,99.0,147.0,120776832.0,75000000.0,11000,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1
50/50,2011.0,7.7,100.0,327.0,34963967.0,8000000.0,40000,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1
500 Days of Summer,2009.0,7.7,95.0,331.0,32391374.0,7500000.0,40000,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1
51 Birch Street,2005.0,7.5,90.0,45.0,84689.0,,70,http://www.imdb.com/title/tt0468442/?ref_=fn_tt_tt_1
54,1998.0,5.8,121.0,63.0,16574731.0,13000000.0,0,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1
55 Days at Peking,1963.0,6.8,154.0,15.0,,9000000.0,419,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1
8 Days,2014.0,6.9,90.0,,,2500000.0,224,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1
8 Heads in a Duffel Bag,1997.0,5.3,95.0,30.0,3559990.0,3000000.0,417,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1
8 Mile,2002.0,7.0,110.0,119.0,116724075.0,41000000.0,0,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1
8 Women,2002.0,7.1,111.0,128.0,3076425.0,8000000.0,0,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1
88 Minutes,2007.0,5.9,108.0,158.0,16930884.0,30000000.0,0,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1
8: The Mormon Proposition,2010.0,7.1,80.0,28.0,99851.0,2500000.0,0,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1
8MM,1999.0,6.5,123.0,138.0,36283504.0,40000000.0,0,http://www.imdb.com/title/tt0134273/?ref_=fn_tt_tt_1
9,2009.0,7.1,79.0,263.0,31743332.0,30000000.0,13000,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1
90 Minutes in Heaven,2015.0,4.6,121.0,12.0,4700361.0,5000000.0,0,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1
9½ Weeks,1986.0,5.9,112.0,38.0,6734844.0,17000000.0,0,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1
A Beautiful Mind,2001.0,8.2,135.0,205.0,170708996.0,58000000.0,29000,http://www.imdb.com/title/tt0268978/?ref_=fn_tt_tt_1
A Beginner's Guide to Snuff,2016.0,8.7,87.0,,,,8,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1
A Better Life,2011.0,7.2,98.0,94.0,1754319.0,10000000.0,0,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1
A Bridge Too Far,1977.0,7.4,175.0,56.0,50800000.0,26000000.0,0,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1
A Bug's Life,1998.0,7.2,95.0,117.0,162792677.0,120000000.0,0,http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1
A Charlie Brown Christmas,1965.0,8.4,25.0,43.0,,150000.0,0,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1
A Christmas Carol,2009.0,6.8,96.0,240.0,137850096.0,200000000.0,0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1
A Christmas Story,1983.0,8.1,94.0,109.0,,4000000.0,18000,http://www.imdb.com/title/tt0085334/?ref_=fn_tt_tt_1
A Cinderella Story,2004.0,5.9,95.0,69.0,51431160.0,20000000.0,0,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1
A Civil Action,1998.0,6.5,115.0,110.0,56702901.0,60000000.0,1000,http://www.imdb.com/title/tt0120633/?ref_=fn_tt_tt_1
A Dangerous Method,2011.0,6.5,99.0,345.0,5702083.0,15000000.0,36000,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1
A Dog of Flanders,1999.0,6.3,100.0,25.0,2148212.0,7000000.0,157,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1
A Dog's Breakfast,2007.0,7.0,88.0,8.0,,120000.0,377,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1
A Farewell to Arms,1932.0,6.6,79.0,42.0,,800000.0,213,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1
A Few Good Men,1992.0,7.6,138.0,81.0,141340178.0,40000000.0,0,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1
A Fine Step,2014.0,5.3,111.0,1.0,,1000000.0,212,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1
A Fistful of Dollars,1964.0,8.0,99.0,122.0,3500000.0,200000.0,0,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1
A Funny Thing Happened on the Way to the Forum,1966.0,7.0,99.0,25.0,,2000000.0,805,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1
A Good Day to Die Hard,2013.0,5.3,101.0,412.0,67344392.0,92000000.0,66000,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1
A Good Year,2006.0,6.9,117.0,147.0,7458269.0,35000000.0,9000,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1
A Guy Named Joe,1943.0,7.0,122.0,9.0,,2627000.0,116,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1
A Guy Thing,2003.0,5.6,101.0,81.0,15408822.0,20000000.0,401,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1
A Hard Day's Night,1964.0,7.7,87.0,105.0,515005.0,560000.0,0,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1
A Haunted House,2013.0,5.1,86.0,129.0,40041683.0,2500000.0,0,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1
A Haunted House 2,2014.0,4.7,86.0,69.0,17314483.0,4000000.0,0,http://www.imdb.com/title/tt2828996/?ref_=fn_tt_tt_1
A History of Violence,2005.0,7.5,96.0,441.0,31493782.0,32000000.0,0,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1
A Home at the End of the World,2004.0,6.8,97.0,84.0,1029017.0,6500000.0,1000,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1
A Knight's Tale,2001.0,6.9,144.0,167.0,56083966.0,65000000.0,0,http://www.imdb.com/title/tt0183790/?ref_=fn_tt_tt_1
A League of Their Own,1992.0,7.2,128.0,41.0,107458785.0,40000000.0,0,http://www.imdb.com/title/tt0104694/?ref_=fn_tt_tt_1
A Lego Brickumentary,2014.0,6.8,93.0,43.0,100240.0,1000000.0,0,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1
A Lonely Place to Die,2011.0,6.3,99.0,135.0,,4000000.0,0,http://www.imdb.com/title/tt1422136/?ref_=fn_tt_tt_1
A Lot Like Love,2005.0,6.6,107.0,112.0,21835784.0,30000000.0,0,http://www.imdb.com/title/tt0391304/?ref_=fn_tt_tt_1
A Low Down Dirty Shame,1994.0,5.8,100.0,8.0,29392418.0,10000000.0,368,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1
A Madea Christmas,2013.0,4.7,100.0,24.0,52528330.0,25000000.0,0,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1
A Man Apart,2003.0,6.1,109.0,110.0,26183197.0,36000000.0,0,http://www.imdb.com/title/tt0266465/?ref_=fn_tt_tt_1
A Man for All Seasons,1966.0,7.9,120.0,62.0,,2000000.0,2000,http://www.imdb.com/title/tt0060665/?ref_=fn_tt_tt_1
A Mighty Heart,2007.0,6.7,108.0,190.0,9172810.0,16000000.0,923,http://www.imdb.com/title/tt0829459/?ref_=fn_tt_tt_1
A Mighty Wind,2003.0,7.3,91.0,97.0,17508936.0,,0,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1
A Million Ways to Die in the West,2014.0,6.1,136.0,303.0,42615685.0,40000000.0,24000,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1
A Monster in Paris,2011.0,6.8,90.0,63.0,,25000000.0,0,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1
A Most Violent Year,2014.0,7.0,125.0,350.0,5749134.0,20000000.0,0,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1
A Most Wanted Man,2014.0,6.8,122.0,291.0,17237244.0,15000000.0,13000,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1
A Night at the Roxbury,1998.0,6.2,82.0,63.0,30324946.0,17000000.0,0,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1
A Nightmare on Elm Street,1984.0,7.5,101.0,256.0,26505000.0,1800000.0,10000,http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1
A Nightmare on Elm Street 2: Freddy's Revenge,1985.0,5.4,87.0,138.0,30000000.0,2200000.0,0,http://www.imdb.com/title/tt0089686/?ref_=fn_tt_tt_1
A Nightmare on Elm Street 3: Dream Warriors,1987.0,6.6,88.0,131.0,44793200.0,4500000.0,0,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1
A Nightmare on Elm Street 4: The Dream Master,1988.0,5.7,99.0,102.0,49369900.0,7000000.0,0,http://www.imdb.com/title/tt0095742/?ref_=fn_tt_tt_1
A Nightmare on Elm Street 5: The Dream Child,1989.0,5.1,89.0,88.0,22168359.0,8000000.0,1000,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1
A Passage to India,1984.0,7.4,164.0,52.0,26400000.0,16000000.0,845,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1
A Perfect Getaway,2009.0,6.5,108.0,160.0,15483540.0,14000000.0,4000,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1
A Perfect Plan,2012.0,6.3,104.0,58.0,,17000000.0,853,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1
A Plague So Pleasant,2013.0,6.3,76.0,13.0,,1400.0,16,http://www.imdb.com/title/tt2107644/?ref_=fn_tt_tt_1
A Prairie Home Companion,2006.0,6.8,105.0,211.0,20338609.0,10000000.0,683,http://www.imdb.com/title/tt0420087/?ref_=fn_tt_tt_1
A Room for Romeo Brass,1999.0,7.7,90.0,29.0,18434.0,,484,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1
A Room with a View,1985.0,7.4,117.0,55.0,20966644.0,3000000.0,0,http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1
A Scanner Darkly,2006.0,7.1,100.0,232.0,5480996.0,8700000.0,0,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1
A Separation,2011.0,8.4,123.0,354.0,7098492.0,500000.0,48000,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1
A Serious Man,2009.0,7.0,106.0,341.0,9190525.0,7000000.0,10000,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1
A Shine of Rainbows,2009.0,7.2,101.0,37.0,,6000000.0,1000,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1
A Simple Plan,1998.0,7.5,121.0,125.0,16311763.0,17000000.0,0,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1
A Simple Wish,1997.0,5.4,89.0,21.0,8119205.0,28000000.0,517,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1
A Single Man,2009.0,7.6,99.0,281.0,9166863.0,7000000.0,16000,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1
A Sound of Thunder,2005.0,4.2,102.0,113.0,1891821.0,52000000.0,785,http://www.imdb.com/title/tt0318081/?ref_=fn_tt_tt_1
A Streetcar Named Desire,1951.0,8.0,125.0,94.0,,1800000.0,5000,http://www.imdb.com/title/tt0044081/?ref_=fn_tt_tt_1
A Tale of Three Cities,2015.0,6.2,130.0,6.0,,12000000.0,4,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1
A Thin Line Between Love and Hate,1996.0,5.6,108.0,11.0,34746109.0,8000000.0,559,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1
A Thousand Words,2012.0,5.9,91.0,70.0,18438149.0,40000000.0,0,http://www.imdb.com/title/tt0763831/?ref_=fn_tt_tt_1
A Time to Kill,1996.0,7.4,149.0,71.0,108706165.0,40000000.0,0,http://www.imdb.com/title/tt0117913/?ref_=fn_tt_tt_1
A Touch of Frost,,7.8,105.0,14.0,,,361,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1
A True Story,2013.0,5.5,96.0,,,45000.0,72,http://www.imdb.com/title/tt1524083/?ref_=fn_tt_tt_1
A Turtle's Tale: Sammy's Adventures,2010.0,6.1,88.0,56.0,,,0,http://www.imdb.com/title/tt1230204/?ref_=fn_tt_tt_1
A Very Harold & Kumar 3D Christmas,2011.0,6.3,90.0,161.0,35033759.0,19000000.0,21000,http://www.imdb.com/title/tt1268799/?ref_=fn_tt_tt_1
A Very Long Engagement,2004.0,7.7,133.0,186.0,6167817.0,47000000.0,0,http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1
A View to a Kill,1985.0,6.3,131.0,108.0,50300000.0,30000000.0,0,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1
A Walk Among the Tombstones,2014.0,6.5,114.0,253.0,25977365.0,28000000.0,15000,http://www.imdb.com/title/tt0365907/?ref_=fn_tt_tt_1
A Walk on the Moon,1999.0,6.6,107.0,47.0,4741987.0,14000000.0,860,http://www.imdb.com/title/tt0120613/?ref_=fn_tt_tt_1
A Walk to Remember,2002.0,7.4,101.0,80.0,41227069.0,11000000.0,19000,http://www.imdb.com/title/tt0281358/?ref_=fn_tt_tt_1
A Warrior's Tail,2015.0,4.1,85.0,5.0,,30000000.0,161,http://www.imdb.com/title/tt4075322/?ref_=fn_tt_tt_1
"A Woman, a Gun and a Noodle Shop",2009.0,5.7,95.0,101.0,190666.0,,784,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1
A.I. Artificial Intelligence,2001.0,7.1,146.0,281.0,78616689.0,100000000.0,11000,http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1
ABCD (Any Body Can Dance),2013.0,6.4,160.0,15.0,95236.0,,1000,http://www.imdb.com/title/tt2321163/?ref_=fn_tt_tt_1
ATL,2006.0,6.0,105.0,54.0,21160089.0,,874,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1
AVP: Alien vs. Predator,2004.0,5.6,109.0,247.0,80281096.0,60000000.0,0,http://www.imdb.com/title/tt0370263/?ref_=fn_tt_tt_1
AWOL-72,2015.0,3.9,82.0,6.0,,3000000.0,398,http://www.imdb.com/title/tt2048865/?ref_=fn_tt_tt_1
Abandon,2002.0,4.9,99.0,72.0,10719367.0,25000000.0,261,http://www.imdb.com/title/tt0267248/?ref_=fn_tt_tt_1
Abandoned,2015.0,6.3,86.0,,,,213,http://www.imdb.com/title/tt4519006/?ref_=fn_tt_tt_1
Abduction,2011.0,5.0,106.0,180.0,28064226.0,35000000.0,13000,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1
Aberdeen,2000.0,7.3,106.0,28.0,64148.0,6500000.0,260,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1
About Last Night,2014.0,6.1,100.0,90.0,48637684.0,12500000.0,0,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1
About Schmidt,2002.0,7.2,125.0,217.0,65010106.0,30000000.0,0,http://www.imdb.com/title/tt0257360/?ref_=fn_tt_tt_1
About Time,2013.0,7.8,123.0,274.0,15294553.0,12000000.0,105000,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1
About a Boy,2002.0,7.1,101.0,158.0,40566655.0,30000000.0,0,http://www.imdb.com/title/tt0276751/?ref_=fn_tt_tt_1
Abraham Lincoln: Vampire Hunter,2012.0,5.9,105.0,393.0,37516013.0,69000000.0,98000,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1
Absentia,2011.0,5.8,87.0,125.0,,70000.0,3000,http://www.imdb.com/title/tt1610996/?ref_=fn_tt_tt_1
Absolute Power,1997.0,6.7,121.0,76.0,50007168.0,50000000.0,1000,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1
Accidental Love,2015.0,4.0,100.0,56.0,,26000000.0,0,http://www.imdb.com/title/tt1137470/?ref_=fn_tt_tt_1
Ace Ventura: Pet Detective,1994.0,6.9,78.0,61.0,72217000.0,12000000.0,0,http://www.imdb.com/title/tt0109040/?ref_=fn_tt_tt_1
Ace Ventura: When Nature Calls,1995.0,6.3,90.0,59.0,108360000.0,30000000.0,0,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1
Across the Universe,2007.0,7.4,133.0,156.0,24343673.0,45000000.0,14000,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1
Act of Valor,2012.0,6.5,110.0,216.0,70011073.0,12000000.0,15000,http://www.imdb.com/title/tt1591479/?ref_=fn_tt_tt_1
Action Jackson,1988.0,5.2,96.0,35.0,20257000.0,7000000.0,978,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1
Adam,2009.0,7.2,99.0,122.0,2277396.0,,0,http://www.imdb.com/title/tt1185836/?ref_=fn_tt_tt_1
Adam Resurrected,2008.0,6.3,106.0,75.0,,10000000.0,589,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1
Adaptation.,2002.0,7.7,81.0,241.0,22245861.0,19000000.0,0,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1
Addicted,2014.0,5.2,106.0,9.0,17382982.0,5000000.0,0,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1
Admission,2013.0,5.7,107.0,150.0,18004225.0,13000000.0,5000,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1
Adore,2013.0,6.2,112.0,141.0,317125.0,16000000.0,0,http://www.imdb.com/title/tt2103267/?ref_=fn_tt_tt_1
Adulterers,2015.0,4.9,91.0,8.0,,750000.0,158,http://www.imdb.com/title/tt4044464/?ref_=fn_tt_tt_1
Adventureland,2009.0,6.8,107.0,248.0,16025394.0,,0,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1
