movie_title,actor_3_name,actor_3_facebook_likes
Antiviral,Caleb Landry Jones,463.0
Antwone Fisher,Derek Luke,543.0
Antz,Anne Bancroft,754.0
Any Given Sunday,LL Cool J,1000.0
Anything Else,Fisher Stevens,922.0
Anywhere But Here,Shawn Hatosy,407.0
Apocalypse Now,Robert Duvall,3000.0
Apocalypto,Jonathan Brewer,19.0
Apollo 13,Kathleen Quinlan,552.0
Apollo 18,Andrew Airlie,205.0
Appaloosa,Tom Bower,107.0
April Fool's Day,Clayton Rohner,85.0
Aqua Teen Hunger Force Colon Movie Film for Theaters,Chris Kattan,357.0
Aquamarine,Dichen Lachman,717.0
Arachnophobia,Brian McNamara,125.0
Ararat,Charles Aznavour,125.0
Arbitrage,Reg E. Cathey,360.0
Archaeology of a Woman,Elaine Bromka,178.0
Are We There Yet?,Jay Mohr,563.0
Area 51,Jelena Nik,14.0
Argo,Tate Donovan,650.0
Arlington Road,Hope Davis,442.0
Armageddon,Will Patton,537.0
Armored,Lorna Raver,163.0
Army of Darkness,Embeth Davidtz,795.0
Arn: The Knight Templar,Vincent Perez,292.0
Arnolds Park,Tac Fitzgerald,20.0
Around the World in 80 Days,Cécile De France,447.0
Aroused,Kayden Kross,232.0
Arthur,Daniel Brochu,12.0
Arthur Christmas,Michael Palin,561.0
Arthur and the Invisibles,Penny Balfour,14.0
"As Above, So Below",Perdita Weeks,161.0
As Good as It Gets,Shirley Knight,285.0
As It Is in Heaven,Nils-Anders Vallgårda,19.0
Ask Me Anything,Cathryn de Prume,354.0
Assassins,Kelly Rowan,282.0
Assault on Precinct 13,Hugh Dillon,431.0
Asterix at the Olympic Games,Vanessa Hessler,141.0
Astro Boy,Dee Bradley Baker,668.0
At First Sight,Steven Weber,685.0
Atlantis: The Lost Empire,Cree Summer,503.0
Atlas Shrugged II: The Strike,Esai Morales,699.0
Atlas Shrugged: Who Is John Galt?,Kristoffer Polaha,361.0
Atonement,Brenda Blethyn,286.0
Attack the Block,Jodie Whittaker,304.0
August,Edward Conna,43.0
August Rush,Marian Seldes,403.0
August: Osage County,Julia Roberts,8000.0
Austin Powers in Goldmember,Robert Wagner,481.0
Austin Powers: International Man of Mystery,Robert Wagner,481.0
Austin Powers: The Spy Who Shagged Me,Robert Wagner,481.0
Australia,Eddie Baroo,165.0
Auto Focus,Kurt Fuller,617.0
Automata,Melanie Griffith,537.0
Autumn in New York,Elaine Stritch,586.0
Avatar,Wes Studi,855.0
Avengers: Age of Ultron,Scarlett Johansson,19000.0
Awake,Denis O'Hare,896.0
Away We Go,Carmen Ejogo,374.0
B-Girl,Drew Sidora,311.0
Baahubali: The Beginning,Prabhas,72.0
Babe,Roscoe Lee Browne,204.0
Babe: Pig in the City,Glenne Headly,231.0
Babel,Dermot Crowley,51.0
Baby Boy,Angell Conwell,522.0
Baby Geniuses,Ruby Dee,782.0
Baby Mama,Romany Malco,966.0
Baby's Day Out,Cynthia Nixon,479.0
Babylon A.D.,David Belle,510.0
Bachelorette,Andrew Rannells,416.0
Back to the Future,J.J. Cohen,459.0
Back to the Future Part II,Thomas F. Wilson,690.0
Back to the Future Part III,Thomas F. Wilson,690.0
Bad Boys,Theresa Randle,244.0
Bad Boys II,Jordi Mollà,877.0
Bad Company,Garcelle Beauvais,384.0
Bad Grandpa,Grasie Mercedes,27.0
Bad Lieutenant: Port of Call New Orleans,Shawn Hatosy,407.0
Bad Moms,Jada Pinkett Smith,851.0
Bad Santa,Alex Borstein,566.0
Bad Teacher,Phyllis Smith,384.0
Bad Words,Patricia Belcher,322.0
Baggage Claim,Boris Kodjoe,1000.0
Baghead,Elise Muller,98.0
Bait,Richard Brancatisano,174.0
Ballistic: Ecks vs. Sever,Gregg Henry,298.0
Bambi,Ann Gillis,8.0
Bamboozled,Jada Pinkett Smith,851.0
Bananas,Louise Lasser,167.0
Bandidas,Dwight Yoakam,324.0
Bandits,Azura Skye,193.0
Bandslam,Ryan Donowho,181.0
Bang,James Noble,152.0
Bang Bang Baby,Kristian Bruun,36.0
Bangkok Dangerous,James With,61.0
Banshee Chapter,Michael McMillian,302.0
Barbarella,Milo O'Shea,170.0
Barbecue,Lionel Abelanski,5.0
Barbershop,Cedric the Entertainer,436.0
Barbershop 2: Back in Business,Kenan Thompson,521.0
Barfi,Dileep Raj,0.0
Barney's Great Adventure,Shirley Douglas,47.0
Barney's Version,Paul Gross,329.0
Barnyard,Maurice LaMarche,523.0
Barry Lyndon,Hardy Krüger,111.0
Barry Munday,Shea Whigham,463.0
Basic,Tim Daly,511.0
Basic Instinct 2,Neil Maskell,246.0
Basquiat,Courtney Love,353.0
Bathing Beauty,Red Skelton,226.0
Bathory: Countess of Blood,Franco Nero,576.0
Batman,William Hootkins,488.0
Batman & Robin,John Glover,409.0
Batman Begins,Morgan Freeman,11000.0
Batman Forever,Debi Mazar,680.0
Batman Returns,Andrew Bryniarski,390.0
Batman v Superman: Dawn of Justice,Alan D. Purwin,2000.0
"Batman: The Dark Knight Returns, Part 2",Grey Griffin,739.0
Batman: The Movie,Burt Ward,356.0
Bats,Ned Bellamy,91.0
Battle Los Angeles,Ramon Rodriguez,464.0
Battle for the Planet of the Apes,Claude Akins,196.0
Battle of the Year,Laz Alonso,826.0
Battlefield Earth,John Topor,41.0
Battleship,Tadanobu Asano,627.0
Be Cool,Debi Mazar,680.0
Be Kind Rewind,Melonie Diaz,270.0
Beastly,Erik Knudsen,583.0
Beastmaster 2: Through the Portal of Time,Marc Singer,284.0
Beasts of the Southern Wild,Dwight Henry,168.0
Beautiful Creatures,Pruitt Taylor Vince,592.0
Beauty Shop,LisaRaye McCoy,485.0
Beavis and Butt-Head Do America,John Doman,616.0
Because I Said So,Tom Everett Scott,433.0
Because of Winn-Dixie,Eva Marie Saint,649.0
Becoming Jane,Laurence Fox,281.0
Bedazzled,Brian Doyle-Murray,484.0
Bedtime Stories,Kathryn Joosten,495.0
Bee Movie,Rip Torn,826.0
Beer League,Seymour Cassel,327.0
Beerfest,Jay Chandrasekhar,422.0
Beetlejuice,Glenn Shadix,217.0
Before I Go to Sleep,Anne-Marie Duff,231.0
Before Midnight,Athina Rachel Tsangari,48.0
Before Sunrise,Dominik Castell,4.0
Before Sunset,Marie Pillet,3.0
Begin Again,Mary Catherine Garrison,7.0
Beginners,Mary Page Keller,157.0
Behind Enemy Lines,Sam Jaeger,389.0
Being John Malkovich,Mary Kay Place,213.0
Being Julia,Juliet Stevenson,202.0
Bella,Eduardo Verástegui,377.0
Beloved,Hill Harper,466.0
Below Zero,Michael Eisner,5.0
Ben-Hur,Moises Arias,635.0
Bend It Like Beckham,Anupam Kher,397.0
Beneath Hill 60,Steve Le Marquand,59.0
Beneath the Planet of the Apes,Victor Buono,158.0
Benji,Edgar Buchanan,142.0
Beowulf,Sebastian Roché,964.0
Bernie,Rick Dial,84.0
Best in Show,Michael McKean,658.0
Better Luck Tomorrow,Collin Kahey,13.0
Beverly Hills Chihuahua,Ali Hillis,597.0
Beverly Hills Cop,James Russo,383.0
Beverly Hills Cop II,Ronny Cox,605.0
Beverly Hills Cop III,Gilbert R. Hill,174.0
Bewitched,Dick York,474.0
Beyond Borders,Noah Emmerich,617.0
Beyond the Black Rainbow,Eva Bourne,48.0
Beyond the Lights,Darryl Stephens,658.0
Beyond the Mat,Mick Foley,43.0
Beyond the Sea,Brenda Blethyn,286.0
Beyond the Valley of the Dolls,Harrison Page,44.0
Bicentennial Man,John Michael Higgins,957.0
Big,John Heard,697.0
Big Daddy,Joey Lauren Adams,781.0
Big Eyes,Jon Polito,309.0
Big Fat Liar,Lee Majors,799.0
Big Fish,Albert Finney,883.0
Big Hero 6,Abraham Benrubi,562.0
Big Miracle,Andrew Daly,171.0
Big Momma's House,Tichina Arnold,330.0
Big Momma's House 2,Marisol Nichols,633.0
"Big Mommas: Like Father, Like Son",Portia Doubleday,534.0
Big Trouble,Omar Epps,865.0
Big Trouble in Little China,Peter Kwong,52.0
Bill & Ted's Bogus Journey,Alex Winter,636.0
Bill & Ted's Excellent Adventure,Al Leong,730.0
Billy Elliot,Jamie Draven,34.0
Birdman or (The Unexpected Virtue of Ignorance),Merritt Wever,529.0
Birth,Danny Huston,430.0
Birthday Girl,Ben Chaplin,258.0
Biutiful,Eduard Fernández,7.0
Bizarre,Raquel Nave,0.0
Black Book,Christian Berkel,104.0
Black Christmas,Andrea Martin,179.0
Black Hawk Down,Ewen Bremner,557.0
Black Knight,Vincent Regan,447.0
Black Mass,Adam Scott,3000.0
Black Nativity,Vondie Curtis-Hall,170.0
Black November,Razaaq Adoti,36.0
Black Rain,Kate Capshaw,237.0
Black Rock,Jay Paulson,37.0
Black Snake Moan,S. Epatha Merkerson,539.0
Black Swan,Mark Margolis,1000.0
Black Water Transit,Beverly D'Angelo,816.0
Black or White,Jillian Estell,664.0
Blackhat,Brandon Molale,301.0
Blackthorn,Stephen Rea,327.0
Blade,Udo Kier,595.0
Blade II,Tony Curran,845.0
Blade Runner,M. Emmet Walsh,521.0
Blade: Trinity,John Michael Higgins,957.0
Blades of Glory,Jon Heder,970.0
Blast from the Past,Douglas Smith,480.0
Blazing Saddles,Harvey Korman,628.0
Bled,Michele Morrow,118.0
Bleeding Hearts,Dustin Diamond,312.0
Blended,Joel McHale,734.0
Bless the Child,Angela Bettis,294.0
Blindness,Yûsuke Iseya,18.0
Blonde Ambition,Larry Miller,611.0
Blood Diamond,Stephen Collins,452.0
Blood Done Sign My Name,Lee Norris,553.0
"Blood In, Blood Out",Raymond Cruz,672.0
Blood Ties,Billy Crudup,745.0
Blood Work,Rick Hoffman,581.0
Blood and Chocolate,Chris Geere,220.0
Blood and Wine,Judy Davis,223.0
BloodRayne,Michael Paré,492.0
Bloodsport,Ken Siu,49.0
Bloody Sunday,Tim Pigott-Smith,80.0
Blow,Jordi Mollà,877.0
Blow Out,John McMartin,101.0
Blue Car,A.J. Buckley,275.0
Blue Crush,Sanoe Lake,64.0
Blue Jasmine,Andrew Dice Clay,218.0
Blue Like Jazz,Eric Lange,274.0
Blue Ruin,Amy Hargreaves,92.0
Blue Streak,Tamala Jones,405.0
Blue Valentine,John Doman,616.0
Boat Trip,Bob Gunton,461.0
Bobby,Brian Geraghty,383.0
Bobby Jones: Stroke of Genius,Paul Freeman,193.0
Body Double,Gregg Henry,298.0
Body of Lies,Michael Gaston,135.0
Bodyguards and Assassins,Nicholas Tse,107.0
Bogus,Andrea Martin,179.0
Boiler Room,Herbert Russell,701.0
Bolt,James Lipton,699.0
Bon Cop Bad Cop,Sarain Boylan,50.0
Bon voyage,Virginie Ledoyen,413.0
Bones,Tamara Taylor,476.0
Boogeyman,Charles Mesure,349.0
Boogie Nights,Nina Hartley,170.0
Book of Shadows: Blair Witch 2,Kurt Loder,162.0
Boom Town,Claudette Colbert,380.0
Boomerang,Geoffrey Holder,547.0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Chester,6.0
Born of War,Lisa Kay,126.0
Born on the Fourth of July,Stephen Baldwin,560.0
Born to Fly: Elizabeth Streb vs. Gravity,Laura Flanders,0.0
Bottle Rocket,Lumi Cavazos,65.0
Bottle Shock,Greg Collins,39.0
Bound,Peter Spellos,126.0
Bowfinger,Jamie Kennedy,490.0
Bowling for Columbine,Bill Clinton,184.0
Boyhood,Libby Villari,127.0
Boynton Beach Club,Brenda Vaccaro,183.0
Boys Don't Cry,Jeannetta Arnette,103.0
Boys and Girls,Tsianina Joelson,95.0
Boyz n the Hood,Na'Blonka Durden,15.0
BrainDead,Zach Grenier,246.0
Bram Stoker's Dracula,Gary Oldman,10000.0
Bran Nue Dae,Jessica Mauboy,38.0
Brave,Julie Walters,838.0
Brave New Girl,Lindsey Haun,249.0
Braveheart,James Robinson,403.0
Brazil,Jim Broadbent,1000.0
Breakdown,J.T. Walsh,263.0
Breakfast of Champions,Omar Epps,865.0
Breakin' All the Rules,Patrick Cranshaw,127.0
Breaking Upwards,Ebon Moss-Bachrach,211.0
Brick Lane,Tannishtha Chatterjee,40.0
Brick Mansions,RZA,561.0
Bride & Prejudice,Anupam Kher,397.0
Bride Wars,Candice Bergen,545.0
Bride of Chucky,Vince Corazza,71.0
Bridesmaids,Steve Bannos,460.0
Bridge of Spies,Amy Ryan,423.0
Bridge to Terabithia,Bailee Madison,3000.0
Bridget Jones's Diary,Shirley Henderson,887.0
Bridget Jones: The Edge of Reason,Celia Imrie,186.0
Brigham City,Rick Macy,25.0
"Bright Lights, Big City",Swoosie Kurtz,418.0
Bright Star,Samuel Roukin,179.0
Brighton Rock,Geoff Bell,405.0
Bring It On,Clare Kramer,229.0
Bringing Down the House,Steve Harris,338.0
Bringing Out the Dead,Sonja Sohn,245.0
Brokeback Mountain,Anne Hathaway,11000.0
Brokedown Palace,Daniel Lapaine,92.0
Broken Arrow,Bob Gunton,461.0
Broken City,Michael Beach,344.0
Broken Horses,Chad Bishop,277.0
Broken Vessels,Brent David Fraser,218.0
Bronson,Matt King,146.0
Brooklyn,Eva Birthistle,54.0
Brooklyn Rules,Alexa Havins,209.0
Brooklyn's Finest,Armando Riesco,625.0
Brother,James Shigeta,403.0
Brotherly Love,Faizon Love,585.0
Brothers,Bailee Madison,3000.0
Brothers,Ethan Suplee,1000.0
Brown Sugar,Wendell Pierce,458.0
Bruce Almighty,Lisa Ann Walter,1000.0
Brüno,Slash,412.0
Bubba Ho-Tep,Ella Joyce,124.0
Bubble Boy,Marley Shelton,690.0
