Object Number,variable,role
14.74.17,1,Maker
14.76.6,0,Artist
143.6 S92,0,Author
143.7W41 W413,0,Artist
146.8  M821 Q,0,Author
146.8  M821 Q,1,Author
146.9 T34,0,Author
15.113.1–.5; 29.158.885,0,Armorer
15.113.1–.5; 29.158.885,1,Armorer
15.142.2,0,Artist
15.30.59,0,Artist
15.30.61,0,Artist
15.30.62,0,Artist
15.30.67,0,Artist
15.75,0,Artist
152.7 T36 Q,0,Author
153 Ar7 F,0,Publisher
159.4 N486,0,Printer
159.4 N486,1,Designer
159.4 N486,2,Subject of book
159.4 N486,3,Publisher
16.2.2,0,Artist
16.30ab,0,Artist
16.53,0,Artist
16.68.2,0,Artist
161 H41,0,Publisher
161 H41,1,Author
161 L841,0,Printer
161 L841,1,Publisher
161 L841,2,Author
161.1 C44 Q,0,Author
17.104,0,Artist
17.142.1,0,Artist
17.172,0,Artist
17.190.1720,0,Armorer
17.190.2045,0,Factory
17.190.636,0,Maker
17.190.724,0,Artist
17.190.823,0,Maker
17.190.823,1,Artist
17.3.159,0,Artist
17.3.90,0,Artist
17.40.2a–r,0,Artist
17.50.17-36,0,Artist
17.50.17-36,1,Dedicatee
17.50.17-36,2,Publisher
17.81.4,0,Artist
17.81.4,1,Poet
"17.87.3a, b",0,Sword maker
17.90.1,0,Artist
17.97.5,0,Artist
170.1 AL1 Quarto,0,Author
170.1 AL1 Quarto,1,Publisher
170.1 C424,0,Author
170.1 C424,1,Translator
170.1 R674,0,Author
170.9 F46,0,Author
171.1 C17,0,Author
171.1 C17,1,Publisher
171.1 C17,2,Engraver
171.1 C17,3,Engraver
175T49 R43,0,Author
18.70.28,0,Artist
19.115.2,0,Maker
19.126,0,Artist
"19.131.1a–r, t–w, .2a–c; 27.183.16",0,Armorer
"19.131.1a–r, t–w, .2a–c; 27.183.16",1,Designer
19.164,0,Artist
19.51.7,0,Artist
19.51.7,1,Sitter
19.68.1,0,Author
19.73.1,0,Artist
19.74.1,0,Artist
19.74.1,1,Artist
19.77.2,0,Artist
192H221  B61,0,Author
1950-04-01 00:00:00,0,Photographer
1970.137.1,0,Artist
1970.179.1a–q,0,Gunsmith
1970.230.4,0,Manufactory
1970.230.4,1,Modeler
1970.301.2,0,Artist
1970.301.2,1,Author
1970.301.3,0,Artist
1970.301.3,1,Author
1970.301.51,0,Artist
1970.301.51,1,Author
1970.35.1,0,Maker
1970.727.1,0,Artist
1970.77,0,Sword cutler
1970.77,1,Bladesmith
1970.89.1a–c,0,Designer
1971.155,0,Artist
1971.158.1,0,Artist
1971.219,0,Maker
1971.63.1,0,Artist
1971.79.4,0,Designer
1971.79.4,1,Design House
1971.86,0,Artist
1972.111.1a-c,0,Maker
1972.118.210,0,Artist
1972.127,0,Artist
1972.223,0,Gunsmith
1972.223,1,Gunsmith
1972.263.6,0,Artist
1972.47,0,Maker
1972.60.1,0,Maker
"1973.104.2a, b",0,Designer
1973.120.1,0,Artist
1973.120.6,0,Artist
1973.257,0,Artist
1973.282.2,0,Design House
1973.282.2,1,Designer
1973.315.1,0,Maker
1973.634,0,Artist
"1973.6a, b",0,Designer
1974.136.3,0,Designer
1974.185.3a–c,0,Designer
1974.185.3a–c,1,Designer
"1974.214.26a, b",0,Maker
"1974.214.26a, b",1,Retailer
1974.356.120a,0,Maker
1974.356.524,0,Modeler
1974.356.524,1,Manufactory
1975.1.1015,0,Artist
1975.1.1019,0,Artist
1975.1.103,0,Artist
1975.1.104,0,Artist
1975.1.110,0,Artist
1975.1.1103,0,Artist
1975.1.113,0,Artist
1975.1.119,0,Artist
1975.1.1194,0,Artist
1975.1.1194,1,Artist
1975.1.12,0,Artist
1975.1.120,0,Artist
1975.1.1232,0,Artist
1975.1.1232,1,Artist
1975.1.1244,0,Artist
1975.1.130,0,Artist
1975.1.138,0,Artist
1975.1.140,0,Artist
1975.1.141,0,Artist
1975.1.142,0,Artist
1975.1.144,0,Artist
1975.1.145,0,Artist
1975.1.146,0,Artist
1975.1.148,0,Artist
1975.1.155,0,Artist
1975.1.1558,0,Artist
1975.1.1558,1,Artist
1975.1.156,0,Artist
1975.1.159,0,Artist
1975.1.16,0,Artist
1975.1.160,0,Artist
1975.1.162,0,Artist
1975.1.1638,0,Artist
1975.1.168,0,Artist
1975.1.186,0,Artist
1975.1.1915,0,Artist
1975.1.1915,1,Artist
1975.1.192,0,Artist
1975.1.194,0,Artist
1975.1.196,0,Artist
1975.1.199,0,Artist
1975.1.201,0,Artist
1975.1.2026,0,Artist
1975.1.2026,1,Artist
1975.1.2026,2,Artist
1975.1.209,0,Artist
1975.1.21,0,Artist
1975.1.2101,0,Artist
1975.1.225,0,Artist
1975.1.231,0,Artist
1975.1.2486,0,Artist
1975.1.2487,0,Artist
1975.1.2490,0,Artist
1975.1.2491,0,Artist
1975.1.27,0,Artist
1975.1.270,0,Artist
1975.1.297,0,Artist
1975.1.31,0,Artist
1975.1.335,0,Artist
1975.1.342,0,Artist
1975.1.369,0,Artist
1975.1.37,0,Artist
1975.1.376,0,Artist
1975.1.38,0,Artist
1975.1.410,0,Artist
1975.1.443,0,Artist
1975.1.473,0,Artist
1975.1.514,0,Artist
1975.1.54,0,Artist
1975.1.553,0,Artist
1975.1.58,0,Artist
1975.1.592,0,Artist
1975.1.647,0,Artist
1975.1.66,0,Artist
1975.1.661,0,Artist
1975.1.669,0,Artist
1975.1.7,0,Artist
1975.1.704,0,Artist
1975.1.710,0,Artist
1975.1.731,0,Artist
1975.1.736,0,Artist
1975.1.74,0,Artist
1975.1.753,0,Artist
1975.1.763,0,Artist
1975.1.774,0,Artist
1975.1.792,0,Artist
1975.1.794,0,Artist
1975.1.799,0,Artist
1975.1.843,0,Artist
1975.1.848,0,Artist
1975.1.85,0,Artist
1975.1.855,0,Artist
1975.1.859,0,Artist
1975.1.86,0,Artist
1975.1.872,0,Artist
1975.1.940,0,Artist
1975.1.95,0,Artist
1975.1.96,0,Artist
1975.15a–c,0,Designer
1975.16,0,Artist
1975.246.5a–c,0,Designer
1975.268.48a–d,0,Artist
1975.27.1,0,Artist
1975.319.1,0,Artist
1975.321,0,Artist
1975.59,0,Maker
1976.124.7a–c,0,Designer
1976.124.7a–c,1,Design House
1976.155.110,0,Maker
1976.155.110,1,Decorator
1976.155.110,2,Factory
1976.324,0,Maker
1976.332,0,Artist
"1976.368.5a, b",0,Designer
"1976.368.5a, b",1,Manufacturer
"1976.368.5a, b",2,Department Store
1976.414.3a-ggg,0,Designer
1976.414.3a-ggg,1,Manufacturer
1976.646,0,Artist
1976.652.3-4,0,Artist
1976.92,0,Artist
1976.92,1,Artist
1977.1,0,Artist
1977.1.11,0,Maker
1977.1.3,0,Artist
1977.243,0,Artist
"1977.329.5a, b",0,Manufacturer
"1977.329.5a, b",1,Designer
"1977.329.5a, b",2,Design House
1977.78,0,Artist
1978.163.2a–c,0,Designer
1978.203,0,Artist
1978.288.23a–f,0,Designer
1978.288.23a–f,1,Department Store
"1978.288.7a, b",0,Design House
1978.412.499,0,Artist
1978.61.1-.6,0,Artist
1979.206.1047,0,Artist
1979.29,0,Artist
1979.32,0,Designer
"1979.380a, b",0,Maker
1979.394,0,Artist
1979.395,0,Artist
1979.396.1,0,Artist
"1979.435.10a, b",0,Designer
"1979.435.10a, b",1,Design House
1979.5a–d,0,Artist
1979.622,0,Artist
1980.1023.5,0,Artist
"1980.111a,b",0,Maker
1980.351,0,Designer
1980.42,0,Artist
1980.92.1a–c,0,Design House
1981.238,0,Artist
1981.276,0,Artist
1981.278,0,Artist
1981.35,0,Artist
1981.380.2,0,Design House
1981.4.1a–o,0,Artist
"1981.57.2a, b",0,Artist
1982.147.25,0,Artist
1982.16.3,0,Artist
1982.171.1,0,Maker
1982.179.29,0,Artist
1982.213,0,Artist
1982.213,1,Artist
1982.30ab,0,Designer
1982.324,0,Maker
1982.443.2,0,Artist
1982.45,0,Artist
"1982.4a, b",0,Maker
"1982.4a, b",1,Maker
1982.53,0,Artist
1982.55.1,0,Artist
1982.59.1–.105,0,Maker
1982.60.129,0,Artist
1982.60.61,0,Maker
1982.60.61,1,Maker
1982.60.81,0,Maker
1982.60.81,1,Designer
1982.60.81,2,Decorator
1982.60.81,3,Maker
1982.60.82,0,Maker
1982.90.1a-c,0,Artist
1983.1009(8),0,Artist
1983.251,0,Artist
1983.356,0,Artist
1983.451,0,Artist
1983.457,0,Artist
1983.606.14–.22,0,Artist
"1983.619.1a, b",0,Designer
"1983.619.1a, b",1,Design House
"1983.8a, b",0,Designer
1984.114.1,0,Maker
"1984.163.4a, b",0,Design House
"1984.163.4a, b",1,Designer
1984.194,0,Artist
1984.225,0,Maker
1984.256,0,Maker
1984.3,0,Designer
1984.3,1,Design House
1984.315.42,0,Artist
1984.328a-d,0,Artist
1984.331.13,0,Maker
1984.34,0,Maker
1984.425,0,Maker
1984.433.16,0,Artist
1984.433.294,0,Artist
1984.433.298ab,0,Artist
1984.433.34,0,Artist
1984.459.1,0,Artist
1984.459.2,0,Artist
1984.527,0,Artist
1984.613.2,0,Artist
1985.114,0,Artist
1985.116,0,Maker
1985.124,0,Maker
1985.353,0,Artist
1985.63.5,0,Artist
1986.1053.1,0,Artist
1986.1054.19,0,Artist
1986.1159,0,Artist
1986.1225.2,0,Artist
1986.138,0,Artist
1986.237,0,Maker
1986.239,0,Maker
"1986.265.1, .2",0,Gunsmith
1986.266.4,0,Artist
1986.353.1,0,Maker
1986.353.2,0,Maker
1986.365.3,0,Maker
1986.365.3,1,Designer
1986.397,0,Artist
1986.441.3,0,Artist
1987.1100.1,0,Artist
1987.1100.10,0,Artist
1987.1100.13,0,Artist
1987.1100.384,0,Artist
1987.1100.40,0,Artist
1987.1100.47,0,Artist
1987.1100.476,0,Artist
1987.1100.48,0,Artist
1987.1100.482,0,Artist
1987.1100.49,0,Artist
1987.1100.87,0,Artist
1987.1161,0,Artist
1987.12,0,Maker
1987.282,0,Artist
1987.455.2,0,Artist
1987.47.1,0,Artist
1987.88,0,Artist
1988.103,0,Artist
1988.1031,0,Artist
1988.159,0,Artist
1988.162,0,Artist
1988.164,0,Manufactory
1988.164,1,Designer
1988.294.1,0,Factory
1988.294.1,1,Modeler
1988.65.1–.2,0,Maker
1988.74.2a–e,0,Designer
1988.87,0,Maker
1989.1038.2,0,Artist
1989.1063,0,Artist
1989.1083,0,Artist
1989.1135,0,Artist
1989.147,0,Maker
1989.183,0,Artist
1989.197,0,Maker
1989.197,1,Artist
1989.197,2,Designer
1989.3,0,Armorer
1989.363.4,0,Artist
1990.1005,0,Artist
1990.103,0,Maker
1990.1083,0,Artist
1990.113,0,Artist
1990.223,0,Maker
1990.226a–d,0,Maker
1990.237a-c,0,Artist
1990.38.1,0,Artist
1990.38.3,0,Artist
1991.1044,0,Artist
1991.1056,0,Artist
1991.1127,0,Artist
1991.1198,0,Artist
1991.1232,0,Artist
1991.1233,0,Artist
1991.145,0,Maker
1991.311.1,0,Maker
"1991.373a, b",0,Swordsmith
1991.77,0,Artist
1992.128,0,Artist
1992.146,0,Artist
1992.23,0,Manufacturer
1992.24.1,0,Artist
1992.24.3,0,Artist
1992.24.8,0,Artist
1992.269,0,Maker
1992.279,0,Maker
1992.333,0,Maker
1992.391,0,Artist
1992.43,0,Designer
1992.5,0,Artist
1992.5067,0,Artist
1992.51,0,Artist
1992.5107,0,Artist
1992.5147,0,Artist
1992.5149,0,Artist
1992.5152,0,Artist
1992.5154,0,Artist
1992.5158,0,Artist
1992.8,0,Maker
"1992.8.1, .2",0,Artist
1993.1097,0,Artist
1993.132,0,Artist
1993.14,0,Sword maker
1993.195a–s,0,Artist
1993.303a-f,0,Designer
1993.303a-f,1,Manufacturer
1993.324,0,Artist
1993.332.2,0,Artist
1993.393.1,0,Designer
1993.393.1,1,Design House
1993.400.6,0,Artist
1993.415,0,Barrelsmith
1993.415,1,Gunsmith
1993.415,2,Engraver
1993.415,3,Goldsmith
1993.415,4,Goldsmith
1993.52.3,0,Designer
1993.52.3,1,Design House
1993.52.4,0,Designer
1993.52.4,1,Design House
1993.55,0,Designer
1993.55,1,Design House
1993.69.3,0,Artist
1993.7,0,Artist
1993.71,0,Artist
1993.75,0,Manufacturer
1993.75,1,Designer
1993.96,0,Designer
1994.12,0,Designer
1994.141,0,Artist
1994.141,1,Patron
1994.141,2,Author
1994.144.8,0,Artist
1994.182,0,Artist
1994.245.135,0,Artist
1994.269,0,Artist
1994.271,0,Artist
1994.278,0,Designer
1994.278,1,Design House
1994.417,0,Artist
1994.417,1,Artist
1994.45,0,Artist
1994.486,0,Artist
1994.567,0,Artist
"1994.578.3a, b",0,Designer
1994.76,0,Artist
1994.83,0,Artist
1995.101,0,Artist
1995.12,0,Artist
1995.13,0,Maker
1995.14.5,0,Artist
1995.142,0,Artist
1995.15,0,Artist
1995.191,0,Artist
1995.196,0,Artist
1995.213a–h,0,Designer
1995.234,0,Artist
1995.245.1,0,Designer
1995.251,0,Artist
1995.336,0,Manufacturer
"1995.371a, b",0,Maker
1995.377.1,0,Maker
1995.378,0,Artist
1995.440a-c,0,Designer
1995.440a-c,1,Manufacturer
1995.474,0,Artist
1995.595,0,Artist
1995.72.7,0,Designer
1995.96.10,0,Artist
1996.102,0,Artist
1996.13.1,0,Maker
1996.14,0,Artist
1996.279,0,Artist
1996.291a–c,0,Artist
1996.297,0,Artist
1996.299,0,Artist
1996.322,0,Artist
1996.363.2,0,Artist
"1996.364a, b",0,Artist
1996.382,0,Artist
1996.403.1,0,Artist
1996.403.10,0,Artist
1996.403.7ab,0,Artist
1996.403.8,0,Artist
1996.418,0,Artist
1996.480.3,0,Designer
1996.558,0,Artist
1996.561,0,Artist
1996.563,0,Artist
1996.99.2,0,Artist
1997.108,0,Artist
1997.117.10,0,Artist
1997.149.12,0,Artist
1997.149.9,0,Artist
1997.153,0,Artist
1997.156,0,Artist
1997.167,0,Artist
1997.195,0,Artist
1997.207,0,Artist
1997.228,0,Designer
1997.25,0,Artist
1997.250.6,0,Designer
1997.382.1,0,Artist
1997.382.19,0,Artist
1997.382.19,1,Artist
1997.382.19,2,Photography Studio
1997.382.34,0,Artist
1997.382.35,0,Artist
1997.382.38,0,Artist
1997.382.41,0,Artist
1997.382.46,0,Artist
1997.460.1a–d,0,Manufacturer
1997.460.1a–d,1,Designer
1997.4ab,0,Artist
1997.61.19,0,Artist
1997.61.25,0,Artist
1997.93,0,Artist
1998.121,0,Maker
1998.132,0,Artist
1998.21,0,Artist
1998.21,1,Patron
1998.225,0,Artist
1998.311.1,0,Artist
1998.329,0,Artist
1998.338,0,Artist
1998.365,0,Artist
1998.431.1a–e,0,Designer
1998.431.1a–e,1,Manufacturer
1998.479,0,Publisher
1998.479,1,Artist
1998.479,2,Publisher
"1998.493.189a, b",0,Designer
1998.57,0,Artist
1998.57,1,Artist
1998.57,2,Person in Photograph
1998.7,0,Maker
1999.103,0,Artist
1999.176,0,Artist
1999.18,0,Artist
1999.19,0,Artist
1999.2,0,Artist
1999.21,0,Artist
1999.222,0,Artist
1999.237.4,0,Artist
1999.24,0,Artist
1999.26,0,Maker
1999.27.1a-c-5,0,Designer
1999.27.1a-c-5,1,Manufacturer
"1999.307 a,b",0,Maker
1999.363.15,0,Artist
1999.363.16,0,Artist
1999.363.20,0,Artist
1999.363.22,0,Artist
1999.363.41,0,Artist
1999.363.50,0,Artist
1999.363.53,0,Artist
1999.38,0,Artist
1999.396,0,Maker
1999.399,0,Maker
1999.494a–h,0,Designer
1999.494a–h,1,Design House
1999.58a–d,0,Designer
1999.58a–d,1,Design House
1999.93,0,Maker
20.155.1,0,Artist
20.155.11,0,Maker
20.155.3,0,Artist
20.155.8,0,Artist
20.155.9,0,Artist
20.24.76,0,Artist
20.24.76,1,Artist
2000.127,0,Artist
2000.13,0,Artist
2000.151,0,Artist
2000.272,0,Artist
2000.278.1-.9,0,Designer
2000.278.1-.9,1,Manufacturer
2000.51,0,Artist
2000.512,0,Artist
2000.600.15,0,Designer
2000.600.15,1,Manufacturer
2000.63a-c,0,Designer
2001.153,0,Artist
2001.293,0,Artist
2001.402a,0,Artist
2001.474,0,Artist
2001.608.1,0,Artist
2001.641,0,Artist
2001.642,0,Armorer
2001.723,0,Designer
"2001.742a, b",0,Design House
"2001.742a, b",1,Designer
2002.1,0,Artist
2002.115,0,Manufacturer
2002.190a–n,0,Maker
2002.21.1,0,Artist
2002.259,0,Artist
2002.26,0,Artist
2002.323 a-f,0,Maker
2002.323 a-f,1,Maker
2002.365,0,Designer
2002.365,1,Designer
2002.436,0,Artist
2002.456.1,0,Artist
2002.456.111,0,Artist
2002.468,0,Artist
"2003.12a, b",0,Designer
"2003.12a, b",1,Manufacturer
2003.150a–g,0,Maker
2003.241,0,Calligrapher
2003.269,0,Artist
2003.27,0,Artist
2003.323,0,Artist
2003.442,0,Design House
2003.442,1,Designer
2003.462,0,Design House
2003.462,1,Designer
2003.63a–d,0,Maker
"2003.68a, b",0,Designer
2004.442,0,Artist
2005.100.1,0,Artist
2005.100.109,0,Artist
2005.100.116,0,Artist
2005.100.140,0,Artist
2005.100.27,0,Artist
2005.364.1a–d–.48,0,Artist
2005.365,0,Manufacturer
2005.390a-c,0,Artist
2005.44.2,0,Designer
2006.277a-fff,0,Artist
2006.32.15,0,Artist
2006.32.49,0,Artist
2006.32.5,0,Artist
"2006.420.51a, b",0,Designer
"2006.420.51a, b",1,Design House
2006.452a–c,0,Maker
"2006.519a, b",0,Designer
"2006.519a, b",1,Manufactory
2006.86a–c,0,Maker
2006.91,0,Artist
2007.194a–f,0,Maker
2007.194a–f,1,Maker
2007.27,0,Designer
2007.27,1,Maker
2007.329,0,Artist
2007.442,0,Artist
2007.95,0,Artist
2007.96,0,Artist
2008.1,0,Maker
2008.121,0,Artist
2008.253,0,Artist
2008.278,0,Artist
2008.29,0,Artist
2008.312,0,Artist
2008.459,0,Artist
2008.547.1,0,Artist
2009.28,0,Designer
2009.28,1,Artist
2009.28,2,Maker
2009.300.816,0,Designer
2009.58,0,Maker
2009.8a–c,0,Sword cutler
201.9 Av3,0,Author
201.9Av3 Av32,0,Author
201.9F88 B73,0,Author
2010.121,0,Artist
2010.138.1-.4,0,Maker
2010.23,0,Artist
2010.24,0,Maker
2010.466,0,Maker
2011.36,0,Artist
2012.99,0,Artist
2014.173,0,Artist
2014.269,0,Artist
21.115.4,0,Artist
21.164,0,Artist
216.7 T71,0,Author
216.7 T71,1,Author
217.08  W881,0,Author
22.16.17,0,Artist
"22.19a, b",0,Silversmith
22.207,0,Artist
22.61,0,Artist
22.75,0,Artist
221.1 K63,0,Author
226 B641,0,Author
23.101,0,Artist
23.102,0,Artist
23.163.4a,0,Designer
23.163.4a,1,Manufacturer
23.163.4a,2,Printer
23.31.1,0,Artist
23.31.1,1,Printer
23.31.1,2,Publisher
230.51 N55,0,Publisher
230.51 N55,1,Author
239 B63 Q,0,Author
239 B63 Q,1,Engraver
"24.179; 26.188.1, .2; 29.158.363a, b",0,Armorer
24.197.2,0,Artist
24.241.2,0,Maker
24.45.1,0,Artist
240.7 T344 F,0,Publisher
240.7 T344 F,1,Artist
240.7 T344 F,2,Author
25.115.15,0,Maker
25.120.288,0,Artist
25.17,0,Artist
25.17,1,Author
25.17,2,Printer
25.231.1,0,Designer
250 T34,0,Author
254 B63,0,Author
26.117,0,Artist
26.12,0,Artist
"26.145.243a, b",0,Sword maker
"26.145.315a, b",0,Goldsmith
26.168.77,0,Maker
26.168.77,1,Designer
26.168.77,2,Maker
26.168.77,3,Decorator
26.54,0,Designer
26.54,1,Artist
26.54,2,Manufacturer
26.72.68,0,Artist
26.9,0,Artist
26.97,0,Artist
27.137,0,Artist
270.52 T49,0,Author
270.52 T49,1,Author
272.4 Au8,0,Author
273.4 G76,0,Author
273.4 G76,1,Illustrator
273.4D26 AL2,0,Subject of book
273.4D26 AL2,1,Author
28.221,0,Artist
"28.52a, b",0,Maker
"28.52a, b",1,Maker
29.100.115,0,Artist
29.100.129,0,Artist
29.100.16,0,Artist
29.100.200,0,Artist
29.100.23,0,Artist
29.100.370,0,Artist
29.100.370,1,Founder
29.100.5,0,Artist
29.100.53,0,Artist
29.100.565,0,Artist
29.100.57,0,Artist
29.100.6,0,Artist
29.100.66,0,Artist
29.100.939,0,Artist
29.107.28,0,Artist
3.3,0,Artist
30.5,0,Maker
31.109,0,Artist
31.45,0,Artist
31.62,0,Artist
32.100.43,0,Artist
32.12,0,Maker
32.12,1,Maker
32.12,2,Maker
32.12,3,Designer
32.130.2,0,Artist
32.130.6a–y,0,Armorer
33.120.221,0,Maker
33.164a–x,0,Armorer
33.165.1,0,Maker
33.23,0,Artist
33.43.132,0,Artist
33.43.303,0,Artist
33.43.334,0,Artist
33.43.343,0,Artist
33.43.36,0,Artist
33.43.39,0,Artist
33.43.43,0,Artist
33.43.44,0,Artist
33.43.47,0,Artist
33.61,0,Artist
"33.65.11, .226",0,Artist
"33.65.11, .226",1,Former Attribution
33.7,0,Author
33.92ab,0,Artist
34.100.124,0,Maker
34.134,0,Artist
34.138,0,Artist
34.73,0,Artist
34.86.1 a,0,Maker
34.86.2 a,0,Maker
34.92,0,Artist
35.27,0,Artist
35.42,0,Artist
"36.120.417a, b, .418a–c",0,Swordsmith
"36.120.417a, b, .418a–c",1,Swordsmith
"36.120.417a, b, .418a–c",2,Fittings maker
36.120.79,0,Fittings maker
36.14a–c,0,Artist
36.37 (25),0,Artist
37.165.107,0,Artist
37.45.3(27),0,Artist
37.45.3(27),1,Publisher
38.34,0,Artist
38.34,1,Artist
38.34,2,Photography Studio
38.59,0,Maker
38.63,0,Maker
39.121a–n,0,Designer
39.121a–n,1,Designer
39.121a–n,2,Designer
39.153,0,Maker
39.153,1,Designer
39.153,2,Maker
39.153,3,Maker
39.52,0,Artist
39.65.53,0,Artist
39.68.27,0,Artist
39.68.27,1,Artist
41.1.31,0,Artist
41.100.132,0,Artist
41.100.23,0,Artist
41.138,0,Artist
41.82,0,Maker
41.82,1,Designer
41.82,2,Designer
42.154,0,Artist
42.155,0,Artist
42.167,0,Artist
42.22,0,Gunsmith
42.50.16,0,Maker
42.50.2,0,Armorer
43.106.1,0,Artist
43.13,0,Artist
43.159.1,0,Artist
43.86.4,0,Artist
43.87.17,0,Artist
43.87.23,0,Artist
"44.21a, b",0,Artist
45.128.5,0,Artist
45.62.1,0,Artist
"46.140.767a, b",0,Maker
46.16,0,Artist
46.192.4,0,Artist
46.25.1a–d,0,Designer
46.25.1a–d,1,Design House
46.43.4,0,Designer
46.43.4,1,Designer
46.43.4,2,Manufactory
46.43.4,3,Patron
47.106,0,Artist
47.26,0,Artist
48.190.2,0,Artist
48.81,0,Maker
49.12,0,Artist
49.24,0,Artist
49.3,0,Artist
49.38,0,Artist
49.55.327,0,Artist
49.55.35,0,Artist
49.59.1,0,Artist
49.7.10,0,Artist
49.7.108,0,Artist
49.7.16,0,Artist
49.7.19,0,Artist
49.7.21,0,Artist
49.7.41,0,Artist
49.7.49,0,Artist
49.70.1,0,Artist
49.70.105,0,Artist
49.70.42,0,Artist
50.102.4,0,Designer
50.102.4,1,Designer
50.117,0,Artist
50.135.4,0,Artist
50.135.5,0,Artist
50.145.66,0,Artist
50.145.8,0,Artist
50.164,0,Artist
50.228.3,0,Maker
50.583.4,0,Artist
51.112.1,0,Artist
51.112.2,0,Artist
51.112.5,0,Artist
51.33.2,0,Artist
51.56,0,Maker
51.9,0,Artist
52.184,0,Artist
52.203,0,Artist
52.81,0,Artist
526 R82,0,Author
526 R82,1,Publisher
53.223,0,Maker
53.225.52,0,Maker
53.56.11,0,Maker
53.87a-i,0,Artist
53.9,0,Artist
532 Eg961,0,Author
532 L551,0,Author
532 L551,1,Author
532 L551,2,Author
"54.1.1a, b",0,Artist
54.1.2,0,Artist
54.167,0,Maker
543.1N48 M97 Q,0,Author
543.1N48 M97 Q,1,Author
55.119,0,Artist
55.121.10.22,0,Artist
55.121.10.22,1,Calligrapher
55.121.10.24,0,Artist
55.44,0,Calligrapher
55.44,1,Illuminator
55.86 a-c,0,Maker
55.93,0,Artist
551 G41,0,Publisher
551 G41,1,Author
56.105,0,Artist
56.205.1,0,Artist
56.228,0,Artist
56.70a–c,0,Artist
57.130.7,0,Maker
57.51.21,0,Calligrapher
57.51.23,0,Author
57.51.23,1,Calligrapher
57.51.26,0,Artist
57.92,0,Artist
58.57a–d,0,Designer
58.57a–d,1,Maker
58.57a–d,2,Maker
58.75.1–.22,0,Maker
58.75.1–.22,1,Designer
58.75.1–.22,2,Manufacturer
58.75.1–.22,3,Designer
58.75.1–.22,4,Designer
58.75.1–.22,5,Maker
58.75.1–.22,6,Maker
58.75.1–.22,7,Factory director
58.75.1–.22,8,Designer
58.75.1–.22,9,Maker
58.75.1–.22,10,Maker
58.75.1–.22,11,Maker
58.75.1–.22,12,Maker
58.75.1–.22,13,Maker
58.75.1–.22,14,Maker
58.75.1–.22,15,Maker
58.75.1–.22,16,Designer
58.75.25,0,Maker
58.75.25,1,Artist
58.75.88a–c,0,Decorator
58.75.88a–c,1,Modeler
58.75.88a–c,2,Factory
58.89,0,Artist
59.12,0,Artist
59.166,0,Artist
59.76,0,Designer
59.76,1,Manufacturer
6.1234,0,Artist
